County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,Black Population,High School Degree or Higher (%),Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Disability Rate,Rent Denominator,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Faulk County,South Dakota,80.4271842776125,46,49,13.3,0,87.5,14.8,582,0.4566,41.5,16.1,199,69,50,2370,2339,41453,2,0,930,38,2.4,2013
Grant County,South Dakota,79.3301433796664,46,51,11.4,39,84.9,14.9,2165,0.4029,44.9,14.0,738,113,66,7307,7093,48896,30,128,3159,100,3.4,2013
Gregory County,South Dakota,77.9479871995744,46,53,19.2,6,86.4,17.0,1233,0.461,48.0,18.2,572,45,99,4247,3805,36719,38,96,1986,91,4.4,2013
Haakon County,South Dakota,78.5191076768986,46,55,14.9,4,94.0,21.8,561,0.4338,49.4,16.2,181,4,8,1944,1804,47198,10,16,807,7,2.3,2013
Hamlin County,South Dakota,78.9839545428985,46,57,7.2,20,86.2,18.1,1450,0.4012,36.5,14.0,455,163,7,5925,5775,55563,39,52,2041,28,4.3,2013
Hand County,South Dakota,80.7821328348321,46,59,12.4,0,85.7,16.1,961,0.4183,49.3,14.4,379,20,47,3433,3410,47679,5,28,1429,58,3.1,2013
Hanson County,South Dakota,80.6856665097434,46,61,15.8,77,87.3,17.7,766,0.4163,35.4,10.1,171,31,18,3377,3211,55815,6,33,1037,0,1.7,2013
Harding County,South Dakota,81.2672497813161,46,63,17.6,4,91.4,31.1,370,0.4199,39.4,8.7,136,16,22,1330,1262,44353,1,14,527,6,1.6,2013
Hughes County,South Dakota,79.46646185386,46,65,11.4,162,93.5,35.1,4321,0.4286,40.4,10.9,2277,377,348,17238,14584,59338,123,301,6992,314,3.2,2013
Hutchinson County,South Dakota,80.2731299807863,46,67,13.2,18,83.6,22.5,1953,0.4962,47.2,14.6,671,124,100,7239,7066,42451,30,123,2937,76,3.2,2013
Hyde County,South Dakota,78.0153651649989,46,69,8.1,0,84.2,20.9,351,0.4076,44.8,13.4,130,21,23,1387,1206,47813,2,20,549,0,4.6,2013
Jerauld County,South Dakota,79.842586336003,46,73,12.2,0,87.2,14.1,640,0.4476,47.4,15.5,241,95,7,2055,2012,46591,13,59,882,12,1.5,2013
Jones County,South Dakota,79.0274991975341,46,75,14.4,10,91.6,15.0,263,0.4336,46.9,17.2,109,2,27,981,952,44808,0,17,438,4,6.5,2013
Kingsbury County,South Dakota,78.9601360468665,46,77,9.2,14,90.0,23.1,1584,0.4014,46.4,13.5,534,92,47,5142,4999,51373,40,60,2311,45,2.6,2013
Lake County,South Dakota,80.9619317766421,46,79,16.3,145,91.9,24.9,2932,0.4332,41.6,12.1,1278,212,155,11564,11150,48936,55,294,4655,117,4.6,2013
Lawrence County,South Dakota,80.4653125504637,46,81,14.4,82,92.7,28.5,6361,0.4685,41.0,13.7,3735,700,704,24305,22750,43273,43,611,10597,531,4.5,2013
Lincoln County,South Dakota,83.9354250490228,46,83,4.5,374,94.3,38.6,12857,0.4148,33.2,6.3,3968,697,663,46693,44714,74751,89,1271,17250,286,1.5,2013
Lyman County,South Dakota,77.241470871629,46,85,17.0,0,88.2,18.2,943,0.3973,36.3,11.5,489,11,9,3804,2200,47596,22,88,1423,81,10.3,2013
McCook County,South Dakota,78.3522226051575,46,87,7.8,18,91.7,23.4,1503,0.4315,42.7,10.7,435,128,14,5605,5474,52703,24,88,2186,35,2.8,2013
McPherson County,South Dakota,80.0748795535209,46,89,19.9,1,76.6,15.7,691,0.4605,50.1,16.0,264,52,10,2432,2334,37240,27,55,1045,43,0.9,2013
Marshall County,South Dakota,80.2662019781381,46,91,18.6,2,88.4,18.4,1038,0.4742,42.5,9.6,454,314,62,4657,3983,46597,7,71,1683,38,2.3,2013
Meade County,South Dakota,78.8675575441169,46,93,11.0,374,91.4,19.1,7209,0.4204,35.8,13.8,2800,906,381,25914,23576,49324,64,707,10083,217,3.6,2013
Mellette County,South Dakota,72.589245202694,46,95,36.6,0,85.6,12.1,513,0.4281,34.7,16.4,232,56,45,2072,810,35109,44,78,698,55,16.1,2013
Miner County,South Dakota,79.3568973886081,46,97,9.5,2,91.5,20.5,633,0.5101,45.6,13.6,246,27,30,2355,2282,48477,11,54,1053,33,2.1,2013
Minnehaha County,South Dakota,79.2160871307678,46,99,10.9,6762,89.9,28.3,43559,0.4155,34.7,9.7,24089,7503,4233,173108,151573,52345,607,5181,67623,3025,4.7,2013
Moody County,South Dakota,80.9099972125428,46,101,11.9,47,89.3,20.6,1929,0.4274,40.8,11.1,786,135,33,6460,5214,51791,19,202,2686,110,5.4,2013
Pennington County,South Dakota,79.9823737140454,46,103,13.5,1185,91.7,27.8,26352,0.4425,36.8,13.2,14106,4441,2876,102752,85664,50833,365,3200,40723,1647,6.0,2013
Perkins County,South Dakota,78.5180614642423,46,105,14.1,1,83.5,17.3,800,0.496,49.8,17.2,393,47,35,2943,2868,38362,20,41,1364,86,3.6,2013
Potter County,South Dakota,78.8651952218191,46,107,13.1,0,86.7,18.4,662,0.4373,51.0,15.6,195,0,15,2323,2254,44556,20,51,1051,21,0.9,2013
Roberts County,South Dakota,77.6352493117543,46,109,19.6,45,85.6,15.8,2606,0.4437,39.4,12.5,1102,160,208,10210,6221,47191,70,251,3646,173,6.7,2013
Sanborn County,South Dakota,79.2665705597139,46,111,12.0,0,84.9,11.9,651,0.3983,46.6,13.4,276,45,8,2348,2327,48384,8,23,1051,10,2.6,2013
Shannon County,South Dakota,66.2977731660296,46,113,53.2,20,79.5,8.4,2367,0.4853,24.1,11.4,1361,150,192,13829,541,25648,279,542,2867,221,25.2,2013
Spink County,South Dakota,79.7051846596884,46,115,13.2,12,85.3,18.1,1667,0.4966,44.2,16.8,691,94,57,6522,6321,48911,56,96,2624,79,1.8,2013
Stanley County,South Dakota,80.7021064152714,46,117,10.2,0,85.5,31.1,798,0.4459,40.7,9.7,271,59,37,2966,2626,54620,21,63,1273,0,2.6,2013
Sully County,South Dakota,81.4499980985909,46,119,5.8,0,93.1,32.2,397,0.4046,46.9,12.1,167,23,14,1420,1360,54524,22,28,606,5,2.6,2013
Todd County,South Dakota,68.3709358589254,46,121,44.6,1,78.8,11.1,2023,0.446,23.0,16.6,1435,285,196,9783,1026,31934,186,505,2680,437,28.8,2013
Tripp County,South Dakota,78.3238338671391,46,123,20.6,1,84.3,18.6,1651,0.4368,44.8,14.3,792,35,104,5571,4599,39324,31,140,2530,128,3.8,2013
Turner County,South Dakota,79.4328303560749,46,125,9.1,39,90.1,18.9,2400,0.3937,44.0,11.8,744,138,86,8344,8108,51925,24,136,3461,91,2.6,2013
Union County,South Dakota,81.2410654905936,46,127,4.4,106,92.4,33.5,3843,0.4572,39.9,10.7,1428,378,82,14575,13812,63468,94,242,5758,112,3.2,2013
Walworth County,South Dakota,77.4038499224292,46,129,10.9,1,89.0,21.7,1465,0.4644,46.7,15.0,839,162,95,5477,4516,41826,16,92,2342,44,5.0,2013
Yankton County,South Dakota,80.078321234205,46,135,13.4,431,89.8,23.5,5508,0.4708,41.1,13.2,2457,671,453,22518,20896,52578,91,534,8698,421,4.5,2013
Ziebach County,South Dakota,76.7645773219832,46,137,42.3,11,82.0,9.6,626,0.4682,26.0,10.1,388,94,76,2821,666,32708,17,117,803,86,28.8,2013
Jackson County,South Dakota,74.1793393971269,46,71,22.3,5,91.0,12.7,760,0.4163,32.0,12.3,394,58,19,3116,1591,46224,0,28,1056,46,19.0,2013
Anderson County,Tennessee,76.0301059698212,47,1,18.2,3103,85.0,24.3,20235,0.4555,42.6,19.1,9637,1796,2479,75263,69541,43620,567,1966,30548,1398,8.9,2013
Bedford County,Tennessee,75.1755865819104,47,3,20.0,2948,75.7,11.4,12094,0.436,36.9,15.3,4922,5164,1008,45339,38757,40759,252,1088,16402,669,9.9,2013
Benton County,Tennessee,73.0496111142996,47,5,22.1,412,75.9,10.5,4540,0.4366,46.1,24.3,1469,316,389,16398,15695,33033,253,480,6892,247,16.7,2013
Bledsoe County,Tennessee,76.7176357694464,47,7,22.4,510,70.3,6.4,3207,0.4333,42.9,29.0,920,275,177,12853,12144,33443,99,290,4556,214,13.0,2013
Blount County,Tennessee,77.3242655422636,47,9,13.7,3598,85.8,21.3,33793,0.429,41.8,15.4,13024,3542,2990,123722,116468,45991,925,2711,48728,1406,9.1,2013
Bradley County,Tennessee,76.7436415945249,47,11,19.8,4377,82.0,19.1,25858,0.4637,38.5,18.0,12400,4976,3208,100070,92066,41083,663,2413,37603,1558,12.0,2013
Campbell County,Tennessee,73.0014181265184,47,13,23.8,228,68.4,9.9,10999,0.442,42.0,22.5,4913,499,1068,40553,39595,31943,356,954,15959,755,12.9,2013
Cannon County,Tennessee,75.0144254048913,47,15,17.8,210,73.3,11.5,3888,0.4507,41.5,20.1,1228,220,148,13790,13280,40689,165,421,5383,204,13.9,2013
Carroll County,Tennessee,73.2848165628714,47,17,20.1,2821,76.9,13.6,7339,0.4487,42.3,20.0,2670,625,670,28525,24796,35049,315,525,11022,478,12.6,2013
Carter County,Tennessee,76.1005224150282,47,19,22.9,771,77.0,13.6,16206,0.4581,42.8,22.1,6668,918,1646,57438,55209,31842,638,1550,24079,670,9.9,2013
Cheatham County,Tennessee,75.1644639146447,47,21,13.8,678,81.2,18.4,10683,0.3876,39.9,15.2,2735,959,549,39213,37495,52446,205,759,14421,239,9.1,2013
Chester County,Tennessee,76.4117808680306,47,23,19.9,1767,77.8,13.2,4328,0.4489,36.9,14.1,1627,388,498,17151,15001,41875,239,417,5936,146,12.5,2013
Claiborne County,Tennessee,73.3374315086517,47,25,22.9,281,73.4,10.8,8391,0.4653,41.2,21.9,3144,286,630,31915,30897,33229,350,682,12553,348,9.7,2013
Clay County,Tennessee,74.2870770734519,47,27,20.6,198,70.0,10.4,2398,0.4205,45.3,19.5,731,130,146,7816,7565,29727,116,173,3281,112,9.7,2013
Cocke County,Tennessee,73.0037377470554,47,29,26.1,538,74.2,8.7,10221,0.4655,43.3,22.0,4400,680,799,35596,33815,30573,566,1303,14917,659,14.7,2013
Coffee County,Tennessee,74.5017912135619,47,31,20.9,1255,81.7,17.5,14084,0.4569,39.4,19.2,6766,2026,1522,53011,48324,37618,376,1596,21019,875,12.0,2013
Crockett County,Tennessee,75.0541019753383,47,33,18.9,1960,73.5,12.7,3939,0.4303,40.4,19.0,1780,1323,319,14576,11839,36066,125,468,5619,172,9.4,2013
Cumberland County,Tennessee,76.9327701727961,47,35,17.6,238,79.7,19.7,16243,0.4427,48.8,21.5,5125,1415,855,56589,54881,37188,496,866,23764,587,10.4,2013
Davidson County,Tennessee,77.1435770623768,47,37,18.5,176884,86.0,36.3,142957,0.4852,34.1,11.3,116371,62213,27414,638395,398946,47335,2856,21085,256745,16327,8.8,2013
Decatur County,Tennessee,74.7801519805416,47,39,22.6,348,75.9,12.9,3473,0.5441,44.8,22.2,1156,330,244,11695,11059,36258,85,323,5066,143,13.1,2013
DeKalb County,Tennessee,73.8371197260071,47,41,19.0,344,74.9,11.6,4938,0.4976,40.5,17.6,1929,1297,190,18875,17987,37482,148,237,7037,285,10.2,2013
Dickson County,Tennessee,75.5172193609814,47,43,15.4,2019,83.7,12.5,13861,0.4196,39.0,16.4,4932,1537,969,49926,46041,44318,361,1454,18647,722,9.5,2013
Dyer County,Tennessee,74.6898673592197,47,45,17.8,5101,84.2,18.9,10894,0.4484,40.2,18.8,5504,1064,895,38239,31272,38953,247,1342,15100,1040,9.5,2013
Fayette County,Tennessee,77.9144811982771,47,47,14.0,10834,84.1,22.2,11063,0.4535,42.7,15.9,2787,920,541,38502,26494,56618,281,841,14535,276,10.0,2013
Fentress County,Tennessee,73.0710642349231,47,49,25.7,38,67.2,12.9,4950,0.4639,43.0,25.0,1727,202,321,17943,17611,29192,240,406,7348,236,10.1,2013
Franklin County,Tennessee,75.894001916126,47,51,15.1,1812,79.7,19.0,11423,0.4449,41.5,19.0,3762,1062,805,40985,37073,42904,496,1063,16067,410,11.7,2013
Gibson County,Tennessee,73.9352997160925,47,53,18.7,9162,82.3,15.3,13054,0.4459,39.9,16.3,5242,1081,1011,49664,39224,38343,473,1524,19205,813,12.6,2013
Giles County,Tennessee,75.3911204024685,47,55,19.5,3111,77.7,13.2,8143,0.4397,42.7,17.3,3209,491,614,29214,25284,38495,246,971,11766,466,11.9,2013
Grainger County,Tennessee,74.4270469836249,47,57,20.4,190,71.7,9.6,6186,0.4531,42.4,21.7,1710,558,333,22653,22103,32364,283,308,9003,199,13.1,2013
Greene County,Tennessee,74.9867322336078,47,59,22.0,1568,78.8,14.4,19872,0.4407,43.2,21.6,7820,1775,1345,68679,65586,35545,503,1457,28677,834,10.1,2013
Grundy County,Tennessee,71.5149278649849,47,61,29.7,52,67.6,9.2,3591,0.472,42.1,26.8,1199,129,238,13657,11302,26814,194,312,5359,148,10.9,2013
Hamblen County,Tennessee,74.9686185551805,47,63,19.2,2504,80.8,16.1,16949,0.4608,39.3,18.4,7401,6753,1780,62721,57376,39596,405,1905,24315,1099,12.3,2013
Hamilton County,Tennessee,77.4908021860677,47,65,16.6,68519,86.1,28.6,88096,0.4848,39.3,14.4,47516,15717,11385,340973,255323,46702,2268,9366,135496,8336,9.5,2013
Hancock County,Tennessee,72.544284055802,47,67,30.8,25,68.7,9.3,1856,0.4606,44.2,27.1,717,13,54,6737,6582,23892,90,244,2835,222,16.9,2013
Hardeman County,Tennessee,74.8567109763404,47,69,24.6,10995,71.6,8.0,5953,0.4496,39.7,19.8,2587,390,707,26897,15091,30973,359,723,8690,629,20.1,2013
Hardin County,Tennessee,73.82517472639,47,71,22.6,980,74.6,10.7,6646,0.5081,43.5,19.9,2192,504,428,26011,24412,33622,264,418,9934,341,16.1,2013
Hawkins County,Tennessee,74.9503419750926,47,73,16.2,734,79.1,12.0,16557,0.4429,42.7,21.4,5387,711,883,56759,54721,37357,558,1369,23348,525,11.0,2013
Haywood County,Tennessee,75.1253232480877,47,75,21.1,9247,70.9,7.6,4522,0.4603,40.5,18.1,2781,741,608,18531,8585,34542,235,558,7099,566,13.7,2013
Henderson County,Tennessee,74.5335388271154,47,77,18.8,2328,79.9,12.3,7824,0.4364,39.9,16.2,2654,565,461,27934,24933,38280,272,580,10930,288,12.1,2013
Henry County,Tennessee,74.4248680581865,47,79,19.2,2669,80.4,16.7,8966,0.4792,44.5,21.9,3616,614,813,32293,28933,36950,465,779,13473,611,13.2,2013
Hickman County,Tennessee,74.843803669045,47,81,17.4,1218,69.7,10.3,6320,0.4288,40.2,20.9,1957,396,354,24428,22625,39581,205,314,8846,243,10.8,2013
Houston County,Tennessee,74.6531795214548,47,83,23.5,195,78.9,7.3,2292,0.4255,42.3,20.9,1025,154,182,8375,7948,35271,79,157,3423,172,9.6,2013
Humphreys County,Tennessee,74.7200774929918,47,85,13.9,613,84.6,13.7,5044,0.4148,41.4,18.2,1645,325,229,18392,17571,42846,180,489,7396,194,12.4,2013
Jackson County,Tennessee,74.0418047953784,47,87,22.1,44,70.6,8.4,3067,0.4663,45.1,23.3,902,181,220,11527,11221,33386,109,260,4493,135,15.4,2013
Jefferson County,Tennessee,75.9231098072205,47,89,18.3,1316,80.6,13.7,13813,0.438,41.1,18.9,5039,1692,894,51759,49230,39745,413,1237,19797,508,12.3,2013
Johnson County,Tennessee,75.3547709826472,47,91,26.4,672,69.4,8.0,4849,0.4401,43.7,26.0,1671,285,287,18158,17114,29609,151,332,6921,254,12.2,2013
Knox County,Tennessee,76.794556844337,47,93,14.6,40097,90.2,36.6,109025,0.477,37.2,12.0,62950,15640,14608,436983,376503,47694,2730,10182,181100,8298,7.3,2013
Lake County,Tennessee,72.7204565157657,47,95,31.7,2002,70.0,6.3,1394,0.4833,39.7,27.0,981,296,187,7773,5412,27115,26,285,2201,242,14.3,2013
Lauderdale County,Tennessee,74.0609584284266,47,97,26.0,9739,70.9,8.7,6695,0.4625,36.4,22.1,3530,602,873,27794,17236,32326,227,1180,9686,521,16.9,2013
Lawrence County,Tennessee,75.109162329612,47,99,18.1,736,77.6,11.2,11177,0.4357,40.2,16.8,3907,729,819,41927,39896,37368,487,838,15862,752,11.0,2013
Lewis County,Tennessee,75.135379914074,47,101,19.9,162,75.4,12.6,3223,0.4321,41.9,18.6,1218,231,124,12049,11385,34397,77,265,4750,172,15.1,2013
Lincoln County,Tennessee,75.4579238830729,47,103,16.3,2148,78.3,16.4,9379,0.4241,42.1,17.9,3200,944,478,33411,29836,41571,299,791,13438,457,8.4,2013
Loudon County,Tennessee,77.4889333501538,47,105,16.1,696,84.6,28.8,14577,0.4496,45.8,16.4,4526,3556,760,49188,46955,51074,395,805,19543,424,11.4,2013
McMinn County,Tennessee,74.9736695371633,47,107,18.3,2256,79.2,14.5,14308,0.426,41.5,19.1,5132,1526,1153,52338,48591,39410,416,1155,20313,556,10.4,2013
McNairy County,Tennessee,73.7080296628211,47,109,22.6,1452,77.2,10.7,6646,0.4866,41.9,20.5,2581,434,510,26066,23956,33452,221,469,9736,312,15.1,2013
Macon County,Tennessee,73.8817838986682,47,111,21.2,111,76.0,6.9,6212,0.4163,38.9,19.0,2298,1016,416,22416,21423,35306,198,712,8544,296,12.7,2013
Madison County,Tennessee,76.5331611365175,47,113,20.0,36172,85.6,24.7,23701,0.4883,37.0,15.7,12026,3344,3954,98261,59262,41617,555,3294,35713,1926,12.5,2013
Marion County,Tennessee,74.3155252947736,47,115,18.2,496,75.1,14.4,7826,0.4406,42.7,22.2,2941,388,489,28214,26508,41268,319,760,11226,454,9.0,2013
Marshall County,Tennessee,75.7901049032219,47,117,16.2,2163,79.2,11.8,8261,0.4261,39.6,17.5,2926,1432,573,30818,27627,42291,198,768,11578,387,12.5,2013
Maury County,Tennessee,76.4934388425679,47,119,15.4,9856,85.3,18.5,21924,0.4307,38.0,15.1,9537,4073,2059,81821,68541,45336,644,2401,32144,1150,9.7,2013
Meigs County,Tennessee,73.1948920702691,47,121,20.7,214,74.8,6.0,3411,0.4141,44.5,29.3,950,34,171,11706,11200,35150,171,247,4776,98,17.5,2013
Monroe County,Tennessee,75.4238203221072,47,123,19.6,853,75.4,10.2,12840,0.4522,41.8,19.7,4620,1553,1122,44857,42663,37595,419,806,17523,473,14.8,2013
Montgomery County,Tennessee,76.4951838313826,47,125,16.4,33810,91.6,22.9,46197,0.4112,30.1,13.1,24854,15135,4937,177640,128257,49617,828,6741,64026,2029,10.3,2013
Moore County,Tennessee,78.6033813771679,47,127,13.2,195,79.6,14.4,1711,0.4216,44.0,18.4,395,14,11,6347,5941,46170,74,124,2416,31,10.3,2013
Morgan County,Tennessee,74.8276203500229,47,129,20.8,801,75.8,6.0,5350,0.4446,40.6,22.6,1449,216,224,21964,20737,37631,179,357,7455,176,9.0,2013
Obion County,Tennessee,75.3030046265226,47,131,17.9,3395,78.5,13.4,8754,0.4507,41.5,17.6,3941,1044,713,31566,27573,39467,243,1135,12462,711,13.0,2013
Overton County,Tennessee,74.0269936159514,47,133,22.4,145,75.5,13.1,6292,0.4472,41.6,18.4,1774,234,287,22109,21633,34604,269,298,8815,200,10.3,2013
Perry County,Tennessee,73.9792515942363,47,135,21.1,179,79.0,17.0,2080,0.4145,42.3,20.2,810,152,134,7861,7506,32845,95,211,3187,99,13.0,2013
Pickett County,Tennessee,75.5724603470484,47,137,19.2,35,80.4,12.2,1933,0.454,48.1,15.8,474,0,139,5095,5013,35184,47,143,2388,30,7.2,2013
Polk County,Tennessee,74.0896678278818,47,139,17.3,44,76.4,11.9,4769,0.4356,43.1,20.8,1386,262,271,16723,16287,39074,225,299,6740,85,12.6,2013
Putnam County,Tennessee,75.9083507172678,47,141,26.5,1755,83.8,22.7,18338,0.5076,36.1,14.5,10687,3945,3409,72702,68432,33709,423,1820,28980,755,10.0,2013
Rhea County,Tennessee,74.5742445084174,47,143,22.6,783,74.4,12.4,8372,0.4415,40.0,24.8,3598,1244,657,32080,30403,36741,254,986,12096,455,14.6,2013
Roane County,Tennessee,75.3425419890349,47,145,15.0,1468,83.7,17.5,14958,0.4428,45.4,21.9,5661,777,1209,53765,50823,42223,474,1312,22117,468,10.8,2013
Robertson County,Tennessee,75.9684761195392,47,147,13.0,5124,83.1,15.4,17697,0.4006,38.1,13.1,5629,3948,1074,66623,58733,52792,463,1634,24136,691,9.4,2013
Rutherford County,Tennessee,78.1068594384907,47,149,13.0,35390,89.1,27.3,67000,0.4058,32.6,8.9,31312,18364,7103,269407,216684,55401,788,7253,96731,2545,8.8,2013
Scott County,Tennessee,72.6885044788707,47,151,28.3,31,74.9,10.0,5426,0.5135,38.3,21.8,1843,187,431,22154,21877,28401,272,502,8206,246,15.4,2013
Sequatchie County,Tennessee,75.8416133028172,47,153,17.4,33,76.8,14.0,4046,0.458,40.9,23.0,1477,475,235,14333,13022,36434,182,377,5616,195,13.1,2013
Sevier County,Tennessee,76.413784517627,47,155,14.5,704,80.4,15.1,26648,0.4251,41.3,17.1,12238,4879,2404,91295,86836,43649,517,2099,36815,856,9.3,2013
Shelby County,Tennessee,75.8525043007856,47,157,20.8,487698,84.4,28.7,221657,0.495,34.6,12.5,140186,53164,40944,932919,382037,46250,6949,39687,343517,25385,11.9,2013
Smith County,Tennessee,74.6872022605588,47,159,19.4,349,79.5,10.3,5141,0.458,40.7,16.2,1920,458,602,19134,18144,42383,147,293,7263,260,9.6,2013
Stewart County,Tennessee,75.1415865835293,47,161,20.0,233,83.0,12.7,3766,0.4351,42.8,20.0,1128,278,266,13313,12451,39781,112,211,5292,188,12.6,2013
Sullivan County,Tennessee,75.9831580868397,47,163,18.3,3003,83.2,21.7,44690,0.4705,44.0,19.9,17130,2436,3509,156741,148657,39479,1597,4110,66239,2481,9.5,2013
Sumner County,Tennessee,78.0108918466596,47,165,10.4,11179,86.0,24.9,45698,0.438,39.1,11.8,16489,6544,3336,163724,146544,55509,795,4352,60835,1598,7.5,2013
Tipton County,Tennessee,75.5166227083354,47,167,13.4,11176,83.5,14.6,16457,0.4177,37.1,15.4,5614,1371,1308,61298,48063,52423,274,1766,21574,538,12.8,2013
Trousdale County,Tennessee,74.4436935682917,47,169,13.6,883,80.8,11.7,2003,0.4477,37.8,16.1,713,6,139,7843,6734,43034,36,219,2899,113,12.1,2013
Unicoi County,Tennessee,74.6081711579281,47,171,21.7,138,74.7,13.3,5031,0.462,44.9,23.8,1896,721,334,18254,17765,32292,248,405,7601,229,8.4,2013
Union County,Tennessee,74.5058219808394,47,173,23.6,16,69.6,8.3,5149,0.442,40.6,17.0,1357,257,323,19177,18816,34399,210,430,7406,231,11.1,2013
Van Buren County,Tennessee,75.4642597088865,47,175,22.5,42,76.6,8.8,1491,0.4619,45.3,18.9,307,17,68,5562,5374,33547,75,141,2097,5,8.1,2013
Warren County,Tennessee,74.5021105979821,47,177,21.5,1101,74.1,11.6,10341,0.4688,39.1,18.6,4618,3267,761,39861,36745,34641,403,1001,15366,630,9.8,2013
Washington County,Tennessee,76.2948099165984,47,179,18.3,4636,85.9,29.2,33109,0.4855,39.6,16.2,17562,3732,4607,123891,114561,42075,953,3100,51771,2055,7.2,2013
Wayne County,Tennessee,75.2879548685504,47,181,20.2,1003,73.5,6.0,4401,0.4361,41.6,19.8,1058,279,105,16996,15673,33198,82,251,6093,84,13.4,2013
Weakley County,Tennessee,76.2796805178978,47,183,20.9,3210,82.5,18.3,9101,0.4669,36.9,16.4,4744,723,1148,34779,30801,35273,286,1055,13797,574,14.3,2013
White County,Tennessee,74.1179569247671,47,185,19.9,474,74.1,10.8,6755,0.4432,42.0,17.7,2512,476,529,25986,24956,34474,276,503,9729,445,12.8,2013
Williamson County,Tennessee,81.9645393134094,47,187,5.7,8178,93.9,56.2,52358,0.4387,38.5,7.4,12385,8571,2269,188935,169576,89779,572,3179,66364,965,5.1,2013
Wilson County,Tennessee,78.0600435174924,47,189,10.2,7755,87.5,26.7,31656,0.4103,39.5,12.0,8923,3947,2209,116948,104351,60390,506,2697,42800,873,8.0,2013
Anderson County,Texas,73.65328227173,48,1,20.3,12299,76.2,8.4,11544,0.4693,38.7,13.2,4854,9500,1014,58262,43560,40653,352,1431,16378,757,7.3,2013
Andrews County,Texas,76.5998095189566,48,3,12.5,242,70.0,15.1,3913,0.4813,34.2,13.1,1140,7881,146,15554,13885,57825,127,403,5217,90,5.9,2013
Angelina County,Texas,75.874776924489,48,5,19.3,13300,76.4,14.1,22468,0.4622,36.4,18.3,10220,17537,2350,87042,67828,41354,664,2868,30668,933,8.5,2013
Aransas County,Texas,75.4357788280713,48,7,19.6,345,85.2,22.8,6718,0.4851,49.3,20.0,2621,5955,629,23627,21571,42476,246,559,9834,313,7.3,2013
Archer County,Texas,78.7166653834252,48,9,11.3,78,87.8,15.5,2564,0.4329,42.8,15.4,647,706,88,8853,8483,56452,37,97,3342,42,3.4,2013
Armstrong County,Texas,76.6847432100497,48,11,11.1,33,91.7,24.5,520,0.3697,44.1,14.1,140,212,4,1773,1631,61635,2,19,647,2,4.0,2013
Atascosa County,Texas,77.4963740342687,48,13,16.4,321,72.8,13.3,11835,0.436,35.6,14.3,3872,28454,460,45714,37528,47543,431,1270,15095,345,8.9,2013
Austin County,Texas,78.2833513025268,48,15,10.1,2707,83.5,18.0,7517,0.4362,40.3,12.4,2538,6947,323,28573,24315,53265,247,492,10615,257,8.4,2013
Bailey County,Texas,76.9564411806169,48,17,13.0,115,64.3,13.1,1806,0.3967,33.7,12.7,820,4131,121,7121,6246,46139,43,95,2358,67,8.1,2013
Bandera County,Texas,79.634894140419,48,19,15.3,120,83.7,23.1,5660,0.416,49.7,20.3,1654,3484,181,20533,19503,49215,94,246,8405,161,6.6,2013
Bastrop County,Texas,77.4093512463223,48,21,16.5,5889,78.5,13.9,18661,0.4238,38.3,12.6,5540,24804,1066,74730,62862,51750,448,1604,25432,591,9.4,2013
Baylor County,Texas,75.6821973088304,48,23,15.4,39,78.9,22.9,1013,0.5526,48.8,21.1,485,328,24,3678,3440,33445,15,106,1798,0,2.2,2013
Bee County,Texas,77.0189538794317,48,25,22.2,2839,70.0,7.2,5868,0.4784,35.4,17.4,2952,18293,401,32281,23879,43690,249,861,8539,353,9.0,2013
Bell County,Texas,77.9715722245641,48,27,15.3,67209,90.3,20.9,75209,0.4287,29.9,12.4,45012,70425,8001,316144,209216,50060,980,12021,104049,4360,9.5,2013
Bexar County,Texas,78.4557824025515,48,29,17.6,128089,82.7,27.0,410792,0.4608,32.9,13.1,243896,1031881,54604,1753238,1326186,50112,10642,56812,604698,37463,8.2,2013
Blanco County,Texas,79.0663120105079,48,31,9.3,69,83.5,21.9,2800,0.422,47.3,17.2,839,2006,119,10562,9842,49487,41,201,4036,54,8.7,2013
Bosque County,Texas,76.6403541613418,48,35,14.7,276,81.6,15.9,5000,0.4591,45.9,17.3,1623,2956,173,18094,17006,44742,146,283,7012,163,9.8,2013
Bowie County,Texas,75.4078530546704,48,37,19.7,22126,85.4,18.2,23119,0.4836,37.6,15.2,11218,6307,2463,92851,65135,42346,522,3431,33808,1782,9.4,2013
Brazoria County,Texas,78.4520700821598,48,39,11.2,40250,84.3,26.2,80021,0.4206,35.3,10.3,28065,89904,5416,319493,238829,67603,1154,8305,107717,2550,6.4,2013
Brazos County,Texas,80.1708062869932,48,41,29.8,21360,83.3,40.2,39207,0.5261,24.7,9.2,37908,46885,15708,197642,147903,38310,589,5440,70239,4144,8.1,2013
Brewster County,Texas,80.9860561316429,48,43,12.4,94,87.2,33.7,2264,0.504,41.7,19.7,1630,3976,125,9244,8653,40477,46,87,4152,141,4.8,2013
