County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Total Families (Single Mother),No Vehicle (Owner),Median Household Income,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Rent Denominator,Disability Rate,Poverty Rate,High School Degree or Higher (%),Black Population,Year
Forest County,Pennsylvania,76.5390855170609,42,53,6.3,31.0,1631.0,4753.0,7351.0,31.0,466.0,25.0,58.0,38383.0,40.4,0.3799,951.0,7.4,230.0,28.5,14.5,82.4,2205.0,2018
Franklin County,Pennsylvania,79.2769786514203,42,55,5.3,2202.0,60210.0,142843.0,153751.0,3165.0,8354.0,3875.0,1404.0,59713.0,41.4,0.4138,42164.0,21.0,18051.0,14.2,10.3,87.4,5882.0,2018
Fulton County,Pennsylvania,77.7860351341499,42,57,5.6,234.0,5950.0,13980.0,14506.0,248.0,76.0,287.0,155.0,51259.0,45.0,0.4075,4028.0,13.4,1271.0,16.2,11.4,87.3,309.0,2018
Greene County,Pennsylvania,75.7852380646645,42,59,4.4,704.0,14211.0,34983.0,37144.0,328.0,562.0,760.0,422.0,54121.0,42.0,0.4402,9453.0,18.2,3674.0,19.2,14.2,87.4,1217.0,2018
Huntingdon County,Pennsylvania,78.8955887089294,42,61,6.3,734.0,16808.0,41637.0,45421.0,603.0,858.0,909.0,440.0,48597.0,43.5,0.4098,11578.0,16.9,4093.0,16.7,13.3,89.1,2485.0,2018
Indiana County,Pennsylvania,78.1265772816422,42,63,7.3,1809.0,33892.0,81170.0,85755.0,2749.0,1107.0,1184.0,1205.0,46877.0,39.8,0.4557,21537.0,22.6,10060.0,15.3,16.8,89.7,1938.0,2018
Jefferson County,Pennsylvania,77.3227421124982,42,65,4.3,864.0,18465.0,43169.0,44084.0,870.0,383.0,911.0,650.0,46818.0,43.9,0.4206,12269.0,16.4,4528.0,16.1,13.9,89.7,235.0,2018
Juniata County,Pennsylvania,79.0940033419083,42,67,3.9,356.0,9404.0,23744.0,24562.0,364.0,872.0,350.0,374.0,52765.0,42.7,0.4004,6549.0,14.2,2246.0,14.1,11.9,83.0,256.0,2018
Lackawanna County,Pennsylvania,77.0201029876856,42,69,4.8,6659.0,86628.0,193707.0,211454.0,6875.0,15071.0,5530.0,2069.0,50875.0,42.3,0.4611,52525.0,27.7,30320.0,15.6,15.1,90.9,6005.0,2018
Lancaster County,Pennsylvania,80.2229504773329,42,71,4.0,12374.0,199889.0,476443.0,538347.0,14919.0,55213.0,10267.0,7786.0,63823.0,38.6,0.4274,139910.0,26.9,63913.0,12.0,10.0,84.9,23028.0,2018
Lawrence County,Pennsylvania,76.5005332335768,42,73,6.2,2142.0,36907.0,81402.0,87382.0,1987.0,1200.0,2133.0,1098.0,48860.0,45.1,0.4624,24437.0,21.4,9609.0,17.7,14.1,90.2,3207.0,2018
Lebanon County,Pennsylvania,78.9361106608905,42,75,5.3,2418.0,53281.0,120787.0,138674.0,2997.0,17542.0,3375.0,982.0,59114.0,41.2,0.4034,36955.0,20.3,16080.0,13.2,10.4,87.0,3335.0,2018
Lehigh County,Pennsylvania,79.3944573296496,42,77,6.5,9925.0,138008.0,284590.0,362613.0,12004.0,85446.0,11118.0,2339.0,62178.0,39.2,0.4531,92651.0,29.4,48529.0,13.8,12.5,88.6,25293.0,2018
Luzerne County,Pennsylvania,76.5262172708434,42,79,6.3,9829.0,128054.0,281858.0,317884.0,8017.0,35075.0,9304.0,3591.0,51646.0,43.0,0.4478,81294.0,23.2,40256.0,15.6,14.9,89.3,14667.0,2018
Lycoming County,Pennsylvania,78.2353333235539,42,81,5.2,3114.0,45897.0,105534.0,114859.0,3256.0,2278.0,2642.0,1046.0,52407.0,41.4,0.423,29880.0,22.8,14045.0,15.6,14.2,89.8,5518.0,2018
McKean County,Pennsylvania,76.9040830685019,42,83,6.8,1209.0,17169.0,39500.0,41806.0,823.0,873.0,1044.0,401.0,46953.0,42.9,0.4475,10806.0,18.1,4513.0,18.4,16.8,91.1,1040.0,2018
Mercer County,Pennsylvania,76.89794962346,42,85,5.3,3048.0,46028.0,102752.0,112630.0,2176.0,1621.0,2669.0,1390.0,48768.0,44.6,0.4381,29724.0,22.6,12456.0,17.1,14.2,89.8,6386.0,2018
Mifflin County,Pennsylvania,78.0245223302741,42,87,3.6,1166.0,19094.0,44917.0,46362.0,846.0,696.0,1054.0,889.0,47526.0,43.8,0.4144,13045.0,12.5,5657.0,16.2,14.4,85.2,367.0,2018
Monroe County,Pennsylvania,78.6731799049532,42,89,7.9,1813.0,56770.0,128602.0,167586.0,3412.0,25830.0,3324.0,1033.0,63931.0,42.8,0.4147,40250.0,24.4,12652.0,15.3,11.5,89.4,24147.0,2018
Montgomery County,Pennsylvania,80.739386282667,42,91,4.6,13821.0,313949.0,652245.0,821301.0,20295.0,41162.0,15086.0,4513.0,88166.0,41.3,0.4667,216309.0,48.7,88515.0,10.0,6.2,94.2,74569.0,2018
Montour County,Pennsylvania,78.5217856553302,42,93,2.2,597.0,7482.0,16911.0,18294.0,303.0,171.0,410.0,283.0,57183.0,43.0,0.4823,4670.0,32.8,2338.0,14.2,11.1,90.7,323.0,2018
Northampton County,Pennsylvania,79.9723821787145,42,95,5.3,5682.0,114123.0,259902.0,301778.0,7130.0,38717.0,6510.0,2134.0,67565.0,42.1,0.4392,78154.0,29.2,32290.0,12.5,9.1,90.6,16649.0,2018
Northumberland County,Pennsylvania,77.3877297895766,42,97,4.5,2917.0,39132.0,87514.0,92325.0,2135.0,3006.0,2111.0,1219.0,47063.0,44.4,0.4366,25078.0,16.0,11389.0,16.7,13.9,87.1,2469.0,2018
Perry County,Pennsylvania,77.4876277848913,42,99,3.7,421.0,18091.0,44567.0,45924.0,561.0,854.0,971.0,485.0,62266.0,43.0,0.3919,12750.0,16.4,3651.0,14.1,8.5,87.5,429.0,2018
Philadelphia County,Pennsylvania,76.3538302077601,42,101,10.2,122740.0,594778.0,648890.0,1575522.0,81709.0,227711.0,60533.0,57709.0,43744.0,34.3,0.5155,321389.0,28.6,279681.0,16.3,24.9,83.9,666047.0,2018
Pike County,Pennsylvania,80.6126589305998,42,103,7.4,515.0,21871.0,49429.0,55498.0,1147.0,5911.0,809.0,357.0,64247.0,47.7,0.4361,15441.0,28.0,3698.0,17.2,10.0,92.9,3438.0,2018
Potter County,Pennsylvania,78.0986392361099,42,105,6.6,304.0,6523.0,16480.0,16937.0,305.0,218.0,320.0,165.0,42821.0,46.7,0.4306,4320.0,15.5,1494.0,19.5,14.3,88.1,68.0,2018
Schuylkill County,Pennsylvania,75.8160918352359,42,107,6.2,3289.0,58733.0,134386.0,143555.0,3066.0,5870.0,3583.0,2024.0,49190.0,44.2,0.428,38182.0,16.2,14458.0,17.6,12.7,88.6,4322.0,2018
Snyder County,Pennsylvania,80.3471670477148,42,109,2.7,532.0,14716.0,39044.0,40466.0,542.0,904.0,654.0,424.0,57638.0,39.9,0.404,10539.0,18.4,4095.0,11.9,10.6,85.6,415.0,2018
Somerset County,Pennsylvania,77.4486104629793,42,111,5.4,1400.0,29708.0,71364.0,74949.0,1024.0,1104.0,1192.0,884.0,48224.0,45.9,0.4322,20190.0,15.5,6463.0,16.5,12.4,88.1,1941.0,2018
Sullivan County,Pennsylvania,76.2606027436135,42,113,8.0,82.0,2721.0,5809.0,6177.0,50.0,134.0,80.0,78.0,47346.0,53.1,0.4249,1613.0,17.3,486.0,19.2,13.4,89.7,192.0,2018
Susquehanna County,Pennsylvania,77.8942437258103,42,115,6.1,613.0,17347.0,40307.0,41340.0,712.0,698.0,791.0,344.0,53059.0,48.2,0.4444,11518.0,17.8,4063.0,16.9,12.3,89.2,300.0,2018
Tioga County,Pennsylvania,78.5160224033247,42,117,5.9,737.0,16178.0,40026.0,41226.0,831.0,520.0,773.0,292.0,50667.0,44.3,0.429,10837.0,19.1,4275.0,17.2,14.2,89.8,273.0,2018
Union County,Pennsylvania,81.8174102096794,42,119,3.7,761.0,14739.0,39188.0,45114.0,993.0,2643.0,691.0,459.0,56026.0,39.4,0.4501,9764.0,25.5,4126.0,12.8,11.3,86.4,2882.0,2018
Venango County,Pennsylvania,77.4008545115563,42,121,6.8,1064.0,21915.0,50691.0,52376.0,898.0,567.0,1231.0,545.0,47982.0,46.5,0.4245,14579.0,17.6,5358.0,18.9,13.8,89.8,434.0,2018
Warren County,Pennsylvania,78.1859650926164,42,123,5.2,663.0,17080.0,39110.0,40035.0,569.0,420.0,681.0,445.0,48409.0,47.0,0.4325,11120.0,19.3,3992.0,17.0,12.7,92.6,191.0,2018
Washington County,Pennsylvania,77.1457497566471,42,125,5.1,4418.0,84100.0,194228.0,207547.0,3478.0,3417.0,3849.0,1979.0,61567.0,44.5,0.4539,55379.0,29.5,20491.0,14.6,9.3,92.9,6455.0,2018
Wayne County,Pennsylvania,78.1568628103118,42,127,6.0,556.0,18739.0,48418.0,51536.0,808.0,2220.0,711.0,404.0,54851.0,48.1,0.4187,12474.0,20.4,3661.0,17.9,11.6,89.8,1668.0,2018
Westmoreland County,Pennsylvania,77.8216603991751,42,129,4.4,7830.0,151665.0,336272.0,354751.0,6167.0,4055.0,6915.0,3456.0,58866.0,46.8,0.4415,100627.0,28.5,34180.0,15.3,10.0,94.0,8530.0,2018
Wyoming County,Pennsylvania,76.7519157687605,42,131,5.8,277.0,10784.0,26827.0,27588.0,506.0,508.0,655.0,206.0,59308.0,44.2,0.4061,7301.0,19.6,2388.0,13.6,10.5,92.9,255.0,2018
York County,Pennsylvania,78.8819424366541,42,133,5.0,7132.0,171244.0,394242.0,444014.0,9617.0,32028.0,10572.0,2814.0,63902.0,41.0,0.4185,118697.0,24.2,43324.0,13.6,10.0,89.4,25790.0,2018
Bristol County,Rhode Island,81.113026160868,44,1,3.5,1001.0,19553.0,46295.0,48900.0,1391.0,1421.0,910.0,251.0,75578.0,44.2,0.4881,12431.0,47.1,5936.0,10.8,7.6,90.1,695.0,2018
Kent County,Rhode Island,79.120007071555,44,3,5.4,3158.0,68833.0,150863.0,163861.0,4161.0,7624.0,3281.0,898.0,70223.0,43.8,0.4439,43169.0,32.1,20736.0,15.6,8.0,91.6,2754.0,2018
Newport County,Rhode Island,81.6069743181174,44,5,4.6,2090.0,35217.0,74452.0,83075.0,2521.0,4693.0,1748.0,396.0,77237.0,45.0,0.47,21549.0,47.9,13368.0,12.8,8.6,93.6,3084.0,2018
Providence County,Rhode Island,79.3975306561631,44,7,6.8,25631.0,238171.0,465512.0,634533.0,25271.0,141206.0,21405.0,3977.0,55233.0,37.3,0.4818,145967.0,28.1,110777.0,13.8,16.2,84.8,60942.0,2018
Washington County,Rhode Island,81.1762736367213,44,9,6.1,1593.0,49111.0,117380.0,126242.0,2950.0,3914.0,2238.0,636.0,81301.0,44.5,0.4435,32550.0,45.0,12503.0,11.3,9.4,94.1,1779.0,2018
Abbeville County,South Carolina,76.0714535729022,45,1,7.6,552.0,9455.0,17220.0,24657.0,612.0,347.0,663.0,462.0,36685.0,43.8,0.4769,6178.0,15.9,2245.0,20.5,22.5,80.2,6761.0,2018
Aiken County,South Carolina,76.4776708182842,45,3,7.8,2420.0,66710.0,117891.0,166926.0,4493.0,9365.0,5102.0,1486.0,50036.0,41.0,0.4545,45455.0,26.4,18908.0,13.7,16.1,87.3,41289.0,2018
Allendale County,South Carolina,72.2075725649709,45,5,16.4,421.0,3350.0,2165.0,9214.0,250.0,138.0,323.0,258.0,24560.0,40.2,0.4995,1951.0,9.4,1095.0,23.5,26.8,77.7,6974.0,2018
Anderson County,South Carolina,75.5747037351086,45,7,5.8,4097.0,76632.0,156465.0,195995.0,5087.0,7128.0,5607.0,1493.0,47906.0,40.7,0.4518,51632.0,21.4,22851.0,16.1,15.2,84.5,31052.0,2018
Bamberg County,South Carolina,74.1603069539711,45,9,5.8,271.0,5422.0,5285.0,14600.0,391.0,291.0,568.0,195.0,32229.0,41.9,0.4598,3523.0,18.7,1538.0,20.8,25.9,82.3,8923.0,2018
Barnwell County,South Carolina,73.4006435878617,45,11,8.0,674.0,8326.0,10963.0,21577.0,606.0,512.0,869.0,357.0,36566.0,40.9,0.4685,5447.0,11.5,2521.0,23.7,26.2,81.1,9869.0,2018
Beaufort County,South Carolina,82.1257971727316,45,13,5.9,1985.0,70607.0,137473.0,182658.0,4553.0,20412.0,3798.0,1277.0,63110.0,44.8,0.4759,48251.0,40.3,20049.0,13.4,11.1,92.9,33074.0,2018
Berkeley County,South Carolina,77.9022168349732,45,15,5.2,1785.0,74931.0,140244.0,209065.0,4013.0,13505.0,5827.0,1383.0,59995.0,36.0,0.4203,53230.0,23.8,21171.0,14.1,12.2,88.8,49833.0,2018
Calhoun County,South Carolina,76.0218286529801,45,17,6.4,215.0,6121.0,8149.0,14713.0,305.0,540.0,308.0,305.0,44534.0,46.0,0.4871,3849.0,19.2,1163.0,17.6,18.4,85.7,6089.0,2018
Charleston County,South Carolina,78.5460769939226,45,19,4.4,8028.0,156482.0,269342.0,394708.0,14829.0,19944.0,9870.0,2593.0,61028.0,37.6,0.5058,92179.0,42.8,60804.0,10.7,14.7,91.5,107789.0,2018
Cherokee County,South Carolina,73.5648898996191,45,21,5.9,1077.0,20373.0,42693.0,56711.0,1008.0,2392.0,1061.0,793.0,35836.0,38.7,0.5036,11655.0,13.8,6293.0,17.6,20.5,79.6,11366.0,2018
Chester County,South Carolina,72.877624970861,45,23,7.2,553.0,12453.0,19601.0,32326.0,624.0,633.0,809.0,462.0,40080.0,41.5,0.4712,7820.0,13.7,3077.0,18.8,21.1,82.2,11938.0,2018
Chesterfield County,South Carolina,73.783114165217,45,25,9.4,1211.0,17977.0,29010.0,46024.0,1057.0,1947.0,1464.0,577.0,40033.0,42.3,0.4481,12486.0,10.1,5214.0,17.7,22.5,76.1,14887.0,2018
Clarendon County,South Carolina,75.629637880779,45,27,11.8,863.0,13327.0,16768.0,34017.0,481.0,1036.0,1054.0,522.0,37525.0,44.3,0.4848,8776.0,15.5,3152.0,24.3,23.4,79.8,16588.0,2018
Colleton County,South Carolina,72.5392425797814,45,29,9.1,333.0,15145.0,21594.0,37568.0,513.0,1187.0,1373.0,430.0,36276.0,42.2,0.4535,9821.0,15.2,3675.0,13.8,21.2,86.7,14411.0,2018
Darlington County,South Carolina,72.677096935445,45,31,11.6,1718.0,26592.0,38068.0,67253.0,1771.0,1338.0,2272.0,1050.0,36254.0,41.4,0.4789,16965.0,17.2,8058.0,18.8,22.3,82.1,27373.0,2018
Dillon County,South Carolina,72.2508388314876,45,33,8.7,931.0,10968.0,14439.0,30871.0,724.0,841.0,1053.0,344.0,29362.0,37.5,0.5054,7223.0,11.1,3862.0,18.3,33.8,74.9,14844.0,2018
Dorchester County,South Carolina,77.9479073987629,45,35,5.8,1363.0,54549.0,105419.0,155474.0,3543.0,8057.0,4376.0,830.0,61698.0,36.5,0.4268,37620.0,27.9,15616.0,12.6,12.2,90.1,39452.0,2018
Edgefield County,South Carolina,78.6567341936277,45,37,6.6,456.0,9063.0,16048.0,26769.0,552.0,1559.0,694.0,174.0,49200.0,42.7,0.4785,6451.0,17.8,2448.0,16.9,15.5,82.4,9771.0,2018
Fairfield County,South Carolina,73.7949155379015,45,39,7.9,458.0,8979.0,9010.0,22712.0,790.0,471.0,507.0,223.0,36294.0,46.4,0.5119,5864.0,17.0,2362.0,19.5,22.9,82.5,12794.0,2018
Florence County,South Carolina,73.8486938068067,45,41,7.8,2958.0,52051.0,74711.0,138561.0,3917.0,3522.0,5004.0,1511.0,45479.0,39.0,0.4834,35246.0,23.1,17986.0,15.8,19.1,84.6,58898.0,2018
Georgetown County,South Carolina,76.1549077093717,45,43,8.5,983.0,25111.0,39776.0,61605.0,1273.0,1885.0,1574.0,1018.0,48071.0,49.2,0.4948,17320.0,27.2,5752.0,16.2,18.3,87.1,19263.0,2018
Greenville County,South Carolina,77.928929578614,45,45,4.7,8481.0,189334.0,370649.0,498402.0,12044.0,44630.0,12247.0,2954.0,56789.0,38.1,0.4684,125950.0,34.2,63421.0,12.5,12.4,87.8,90220.0,2018
Greenwood County,South Carolina,76.0350917398461,45,47,8.3,1784.0,27207.0,44848.0,70264.0,2356.0,4209.0,2926.0,514.0,40982.0,39.4,0.4835,18026.0,23.5,9742.0,16.2,22.5,83.7,22516.0,2018
Hampton County,South Carolina,73.6366709209462,45,49,9.9,272.0,6924.0,8459.0,19807.0,112.0,788.0,487.0,191.0,32453.0,39.7,0.3977,4047.0,11.4,1811.0,13.4,18.7,82.4,10568.0,2018
Horry County,South Carolina,76.6147112080147,45,51,6.4,3852.0,128586.0,259166.0,320915.0,8714.0,19290.0,7902.0,2192.0,48279.0,45.2,0.4462,83150.0,23.6,37547.0,16.7,16.4,89.8,44077.0,2018
Jasper County,South Carolina,77.3144389320682,45,53,9.1,422.0,9982.0,14577.0,27900.0,923.0,3684.0,846.0,148.0,41930.0,39.5,0.4564,7247.0,16.9,3146.0,15.4,20.2,81.5,12015.0,2018
Kershaw County,South Carolina,75.9766385347325,45,55,6.6,255.0,24833.0,45858.0,64361.0,885.0,2690.0,1792.0,618.0,49392.0,41.7,0.4384,17371.0,19.9,4429.0,16.4,16.4,86.5,15409.0,2018
Lancaster County,South Carolina,77.6695337360145,45,57,6.7,948.0,32632.0,66119.0,89546.0,1346.0,4692.0,2168.0,600.0,55223.0,42.0,0.4747,22856.0,26.9,7116.0,13.8,14.5,86.4,19193.0,2018
Laurens County,South Carolina,73.6099159496612,45,59,8.4,1137.0,25373.0,46741.0,66710.0,1533.0,3119.0,1816.0,629.0,41578.0,41.1,0.454,17357.0,15.4,7509.0,19.9,19.9,80.5,16482.0,2018
Lee County,South Carolina,71.9239224723825,45,61,8.5,401.0,6357.0,5753.0,17606.0,530.0,423.0,397.0,262.0,31651.0,41.9,0.4939,4093.0,12.3,1701.0,21.4,25.0,78.7,11549.0,2018
Lexington County,South Carolina,77.5653162330278,45,63,5.7,3884.0,111265.0,227064.0,286316.0,5857.0,16998.0,7954.0,1511.0,59593.0,39.0,0.4332,75479.0,30.1,28976.0,13.5,12.7,89.6,41765.0,2018
McCormick County,South Carolina,76.5154530033167,45,65,13.2,148.0,3967.0,4849.0,9606.0,89.0,63.0,245.0,113.0,42262.0,53.9,0.4771,2634.0,20.2,927.0,22.3,19.1,81.3,4483.0,2018
Marion County,South Carolina,71.6928558186487,45,67,10.1,974.0,11538.0,12532.0,31562.0,748.0,880.0,1268.0,422.0,33046.0,40.4,0.5254,7616.0,14.4,3392.0,18.1,24.2,80.8,17913.0,2018
Marlboro County,South Carolina,71.7467986134621,45,69,13.0,736.0,9584.0,11249.0,27131.0,629.0,896.0,957.0,506.0,34203.0,40.3,0.4676,6407.0,9.4,3281.0,21.6,26.0,75.9,13735.0,2018
Newberry County,South Carolina,75.7982142179426,45,71,7.2,655.0,14939.0,23914.0,38068.0,606.0,2797.0,1350.0,432.0,42765.0,41.5,0.4518,9967.0,17.1,4031.0,14.7,18.7,81.0,12011.0,2018
Oconee County,South Carolina,76.4978029141718,45,73,6.4,1353.0,31818.0,67358.0,76696.0,1882.0,4083.0,1682.0,639.0,46056.0,45.3,0.4853,21401.0,24.6,8837.0,21.5,18.3,83.9,5433.0,2018
Orangeburg County,South Carolina,73.569861494565,45,75,9.3,1810.0,32966.0,30394.0,88454.0,2077.0,1917.0,3018.0,1116.0,36188.0,39.6,0.4882,20033.0,19.5,10539.0,16.1,24.2,85.6,54504.0,2018
Pickens County,South Carolina,76.5025111045235,45,77,5.8,2081.0,47375.0,108436.0,122746.0,4131.0,4377.0,2352.0,973.0,47024.0,36.2,0.4569,30055.0,24.5,15356.0,14.8,17.5,84.9,8153.0,2018
Richland County,South Carolina,77.1975953652518,45,79,6.8,8110.0,150309.0,185683.0,408263.0,15784.0,20733.0,14724.0,2457.0,53922.0,33.2,0.4736,90375.0,37.7,61859.0,13.2,16.3,91.1,190401.0,2018
Saluda County,South Carolina,77.3186583699907,45,81,6.0,229.0,7211.0,13213.0,20299.0,168.0,3165.0,506.0,207.0,44486.0,41.9,0.4352,5356.0,16.1,1898.0,14.4,16.2,79.2,5106.0,2018
Spartanburg County,South Carolina,75.5777932093496,45,83,5.7,5218.0,114640.0,221844.0,302195.0,7107.0,20137.0,8470.0,2003.0,50179.0,38.2,0.4561,78311.0,23.8,34849.0,15.1,14.8,85.3,61724.0,2018
Sumter County,South Carolina,74.8441957705634,45,85,10.6,2491.0,41137.0,51309.0,106995.0,2914.0,4147.0,4097.0,1158.0,43792.0,36.3,0.4447,27915.0,18.5,14529.0,19.4,20.3,83.6,50309.0,2018
Union County,South Carolina,73.1274970800623,45,87,7.5,547.0,11544.0,18058.0,27644.0,619.0,402.0,1019.0,592.0,40120.0,43.8,0.4742,7894.0,12.1,3540.0,20.3,21.7,81.4,8680.0,2018
Williamsburg County,South Carolina,72.6930825447598,45,89,7.3,856.0,12411.0,10164.0,31794.0,510.0,727.0,1116.0,639.0,32351.0,42.1,0.4869,8270.0,12.7,3150.0,19.8,25.1,80.7,20564.0,2018
York County,South Carolina,77.6541028749111,45,91,6.0,2740.0,98155.0,192415.0,258641.0,5896.0,13788.0,7376.0,1066.0,62431.0,38.5,0.4504,69043.0,32.0,27936.0,10.4,11.5,89.6,49312.0,2018
Aurora County,South Dakota,79.6675169604439,46,3,1.2,13.0,1161.0,2541.0,2759.0,25.0,200.0,53.0,5.0,59293.0,38.3,0.4083,713.0,20.6,290.0,13.1,7.3,86.8,31.0,2018
Beadle County,South Dakota,78.5943595439532,46,5,1.7,249.0,7770.0,15275.0,18374.0,287.0,1803.0,468.0,26.0,51700.0,37.3,0.3899,4720.0,20.1,2569.0,11.2,18.1,85.3,144.0,2018
Bennett County,South Dakota,72.7354006750439,46,7,11.8,25.0,985.0,1219.0,3437.0,58.0,286.0,88.0,5.0,48348.0,29.0,0.3962,751.0,18.4,361.0,12.3,34.6,82.0,2.0,2018
Bon Homme County,South Dakota,80.0848877765671,46,9,1.4,69.0,2536.0,6179.0,6969.0,54.0,195.0,57.0,54.0,54450.0,42.8,0.404,1504.0,18.4,648.0,12.6,10.9,87.7,104.0,2018
Brookings County,South Dakota,81.4751594584794,46,11,3.5,511.0,12764.0,31668.0,34239.0,1414.0,1011.0,327.0,93.0,56370.0,26.7,0.4267,6864.0,39.2,5220.0,9.1,15.4,95.4,545.0,2018
Brown County,South Dakota,80.3244653957401,46,13,2.2,999.0,16184.0,34963.0,38840.0,1081.0,1027.0,979.0,197.0,56455.0,36.9,0.4556,9888.0,29.3,5511.0,11.3,12.0,93.2,836.0,2018
Brule County,South Dakota,78.3804559787075,46,15,2.0,147.0,2221.0,4553.0,5256.0,54.0,138.0,91.0,15.0,50839.0,41.0,0.5013,1465.0,24.8,820.0,15.7,17.8,87.5,1.0,2018
Buffalo County,South Dakota,69.3557399800915,46,17,18.1,58.0,564.0,252.0,2053.0,44.0,66.0,68.0,5.0,32500.0,25.8,0.4545,425.0,9.4,305.0,16.0,39.2,79.6,3.0,2018
Butte County,South Dakota,77.82693572803,46,19,3.8,194.0,4178.0,9601.0,10177.0,134.0,361.0,262.0,29.0,44387.0,40.5,0.474,2635.0,20.6,1040.0,16.0,12.2,90.6,68.0,2018
Campbell County,South Dakota,82.6340971148118,46,21,1.0,11.0,658.0,1424.0,1435.0,13.0,4.0,2.0,0.0,52500.0,51.3,0.5444,396.0,28.8,78.0,13.4,4.0,89.2,0.0,2018
Charles Mix County,South Dakota,77.3205516716118,46,23,6.8,141.0,3144.0,5947.0,9344.0,99.0,311.0,160.0,57.0,46389.0,35.9,0.4471,2042.0,17.5,938.0,14.9,20.2,87.9,7.0,2018
Clark County,South Dakota,79.7485724893341,46,25,3.5,48.0,1536.0,3552.0,3673.0,40.0,111.0,77.0,15.0,47798.0,41.3,0.5018,927.0,18.6,345.0,12.9,13.1,91.0,9.0,2018
Clay County,South Dakota,79.384988714741,46,27,5.8,125.0,5223.0,12405.0,13925.0,967.0,396.0,318.0,66.0,43189.0,25.0,0.5167,2697.0,48.4,2554.0,10.5,25.3,95.9,161.0,2018
Codington County,South Dakota,80.538138815948,46,29,2.6,533.0,11974.0,26507.0,27993.0,952.0,638.0,784.0,102.0,54774.0,38.8,0.4374,7342.0,21.6,4077.0,13.7,12.4,92.0,168.0,2018
Corson County,South Dakota,70.453830792167,46,31,26.4,127.0,1186.0,1215.0,4168.0,79.0,16.0,134.0,47.0,35441.0,28.7,0.5425,871.0,17.0,563.0,11.3,44.3,83.1,19.0,2018
Custer County,South Dakota,79.17708653764,46,33,3.4,99.0,3941.0,8000.0,8573.0,150.0,269.0,160.0,26.0,55472.0,54.3,0.4084,2848.0,25.0,692.0,15.8,13.1,94.1,33.0,2018
Davison County,South Dakota,78.6482904592691,46,35,3.0,528.0,8687.0,18546.0,19901.0,594.0,568.0,504.0,68.0,47772.0,38.8,0.4445,5274.0,23.9,3522.0,14.1,12.8,91.7,160.0,2018
Day County,South Dakota,79.1928520323542,46,37,1.9,50.0,2599.0,4796.0,5506.0,120.0,117.0,135.0,23.0,44145.0,48.0,0.4953,1653.0,20.6,692.0,10.9,19.2,89.6,34.0,2018
Deuel County,South Dakota,80.7279825775122,46,39,2.0,18.0,1799.0,4288.0,4306.0,21.0,126.0,44.0,8.0,57930.0,44.4,0.3862,1232.0,23.6,362.0,11.9,9.8,90.8,0.0,2018
Dewey County,South Dakota,70.0028220648428,46,41,22.1,115.0,1667.0,1170.0,5779.0,90.0,58.0,163.0,21.0,43954.0,27.8,0.463,1174.0,16.0,703.0,9.8,30.2,85.6,6.0,2018
Douglas County,South Dakota,79.4414035060355,46,43,1.1,38.0,1250.0,2790.0,2930.0,38.0,19.0,12.0,9.0,57419.0,47.3,0.4337,912.0,16.9,262.0,12.6,7.4,87.6,0.0,2018
Edmunds County,South Dakota,80.5381303619896,46,45,2.6,45.0,1563.0,3857.0,3940.0,2.0,70.0,23.0,27.0,68551.0,43.1,0.4169,1054.0,25.5,271.0,9.9,5.5,90.3,4.0,2018
Fall River County,South Dakota,75.244610948499,46,47,1.8,176.0,3119.0,5879.0,6774.0,98.0,275.0,138.0,24.0,50837.0,51.3,0.3861,1888.0,21.5,735.0,19.0,13.8,92.3,21.0,2018
Faulk County,South Dakota,80.9956792099174,46,49,0.4,16.0,902.0,2206.0,2322.0,8.0,30.0,25.0,11.0,53889.0,48.1,0.4372,537.0,28.9,179.0,13.7,12.8,92.8,1.0,2018
Grant County,South Dakota,79.1163641605652,46,51,1.0,62.0,3212.0,6835.0,7217.0,97.0,161.0,176.0,21.0,62532.0,43.5,0.4176,2137.0,17.4,518.0,12.8,7.8,90.8,11.0,2018
Gregory County,South Dakota,77.8137625773979,46,53,1.1,63.0,1845.0,3700.0,4201.0,73.0,27.0,135.0,25.0,44479.0,45.5,0.4683,1144.0,20.5,511.0,13.1,13.9,89.3,0.0,2018
Haakon County,South Dakota,77.1953321639984,46,55,2.6,36.0,909.0,1970.0,2082.0,8.0,19.0,34.0,12.0,37420.0,46.5,0.4615,648.0,15.1,182.0,16.4,13.3,90.4,1.0,2018
Hamlin County,South Dakota,78.8866977946435,46,57,2.0,36.0,2215.0,5805.0,6000.0,43.0,260.0,69.0,41.0,65050.0,35.2,0.3557,1644.0,20.3,479.0,9.5,5.8,91.3,15.0,2018
Hand County,South Dakota,80.5357768460922,46,59,0.7,41.0,1518.0,3256.0,3301.0,13.0,26.0,73.0,4.0,52438.0,47.3,0.4598,972.0,23.3,470.0,13.2,9.0,93.7,3.0,2018
Hanson County,South Dakota,79.2654092849963,46,61,1.2,3.0,1069.0,3384.0,3397.0,18.0,0.0,31.0,6.0,63036.0,36.3,0.3702,785.0,20.1,122.0,12.6,6.7,92.9,0.0,2018
